D:\acmis\AI_4_dingodb\learning-query-optimizer\experiment\venv\Scripts\python.exe D:\acmis\AI_4_dingodb\learning-query-optimizer\experiment\SIMD\search.py
查询执行时间：40.8020 seconds
查询执行时间：46.6857 seconds
查询执行时间：46.9479 seconds
查询执行时间：44.4048 seconds
查询执行时间：46.7288 seconds
查询执行时间：44.9906 seconds
查询执行时间：47.5147 seconds
查询执行时间：46.8946 seconds
查询执行时间：45.9566 seconds
查询执行时间：45.9660 seconds
查询执行时间：47.2230 seconds
查询执行时间：44.8387 seconds
